date,product_name,size,unit_price,quantity
2024-01-01,Chicken Shawarma,Small,10,29
2024-01-01,Chicken Shawarma,Medium,12,37
2024-01-01,Chicken Shawarma,Large,14,31
2024-01-01,Meat Shawarma,Small,12,19
2024-01-01,Meat Shawarma,Medium,15,38
2024-01-01,Meat Shawarma,Large,18,22
2024-01-01,Mixed Shawarma,Small,14,21
2024-01-01,Mixed Shawarma,Medium,17,28
2024-01-01,Mixed Shawarma,Large,20,24
2024-01-02,Chicken Shawarma,Small,10,27
2024-01-02,Chicken Shawarma,Medium,12,50
2024-01-02,Chicken Shawarma,Large,14,35
2024-01-02,Meat Shawarma,Small,12,19
2024-01-02,Meat Shawarma,Medium,15,34
2024-01-02,Meat Shawarma,Large,18,24
2024-01-02,Mixed Shawarma,Small,14,18
2024-01-02,Mixed Shawarma,Medium,17,30
2024-01-02,Mixed Shawarma,Large,20,19
2024-01-03,Chicken Shawarma,Small,10,28
2024-01-03,Chicken Shawarma,Medium,12,40
2024-01-03,Chicken Shawarma,Large,14,33
2024-01-03,Meat Shawarma,Small,12,25
2024-01-03,Meat Shawarma,Medium,15,32
2024-01-03,Meat Shawarma,Large,18,24
2024-01-03,Mixed Shawarma,Small,14,19
2024-01-03,Mixed Shawarma,Medium,17,33
2024-01-03,Mixed Shawarma,Large,20,27
2024-01-04,Chicken Shawarma,Small,10,25
2024-01-04,Chicken Shawarma,Medium,12,43
2024-01-04,Chicken Shawarma,Large,14,39
2024-01-04,Meat Shawarma,Small,12,20
2024-01-04,Meat Shawarma,Medium,15,40
2024-01-04,Meat Shawarma,Large,18,32
2024-01-04,Mixed Shawarma,Small,14,18
2024-01-04,Mixed Shawarma,Medium,17,25
2024-01-04,Mixed Shawarma,Large,20,26
2024-01-05,Chicken Shawarma,Small,10,41
2024-01-05,Chicken Shawarma,Medium,12,67
2024-01-05,Chicken Shawarma,Large,14,49
2024-01-05,Meat Shawarma,Small,12,28
2024-01-05,Meat Shawarma,Medium,15,44
2024-01-05,Meat Shawarma,Large,18,45
2024-01-05,Mixed Shawarma,Small,14,30
2024-01-05,Mixed Shawarma,Medium,17,44
2024-01-05,Mixed Shawarma,Large,20,31
2024-01-06,Chicken Shawarma,Small,10,51
2024-01-06,Chicken Shawarma,Medium,12,77
2024-01-06,Chicken Shawarma,Large,14,42
2024-01-06,Meat Shawarma,Small,12,34
2024-01-06,Meat Shawarma,Medium,15,49
2024-01-06,Meat Shawarma,Large,18,38
2024-01-06,Mixed Shawarma,Small,14,23
2024-01-06,Mixed Shawarma,Medium,17,41
2024-01-06,Mixed Shawarma,Large,20,32
2024-01-07,Chicken Shawarma,Small,10,44
2024-01-07,Chicken Shawarma,Medium,12,54
2024-01-07,Chicken Shawarma,Large,14,57
2024-01-07,Meat Shawarma,Small,12,32
2024-01-07,Meat Shawarma,Medium,15,56
2024-01-07,Meat Shawarma,Large,18,39
2024-01-07,Mixed Shawarma,Small,14,31
2024-01-07,Mixed Shawarma,Medium,17,38
2024-01-07,Mixed Shawarma,Large,20,37
2024-01-08,Chicken Shawarma,Small,10,23
2024-01-08,Chicken Shawarma,Medium,12,48
2024-01-08,Chicken Shawarma,Large,14,36
2024-01-08,Meat Shawarma,Small,12,19
2024-01-08,Meat Shawarma,Medium,15,34
2024-01-08,Meat Shawarma,Large,18,32
2024-01-08,Mixed Shawarma,Small,14,20
2024-01-08,Mixed Shawarma,Medium,17,29
2024-01-08,Mixed Shawarma,Large,20,26
2024-01-09,Chicken Shawarma,Small,10,29
2024-01-09,Chicken Shawarma,Medium,12,47
2024-01-09,Chicken Shawarma,Large,14,33
2024-01-09,Meat Shawarma,Small,12,25
2024-01-09,Meat Shawarma,Medium,15,29
2024-01-09,Meat Shawarma,Large,18,22
2024-01-09,Mixed Shawarma,Small,14,19
2024-01-09,Mixed Shawarma,Medium,17,33
2024-01-09,Mixed Shawarma,Large,20,25
2024-01-10,Chicken Shawarma,Small,10,24
2024-01-10,Chicken Shawarma,Medium,12,36
2024-01-10,Chicken Shawarma,Large,14,38
2024-01-10,Meat Shawarma,Small,12,21
2024-01-10,Meat Shawarma,Medium,15,29
2024-01-10,Meat Shawarma,Large,18,23
2024-01-10,Mixed Shawarma,Small,14,21
2024-01-10,Mixed Shawarma,Medium,17,30
2024-01-10,Mixed Shawarma,Large,20,21
2024-01-11,Chicken Shawarma,Small,10,33
2024-01-11,Chicken Shawarma,Medium,12,38
2024-01-11,Chicken Shawarma,Large,14,35
2024-01-11,Meat Shawarma,Small,12,26
2024-01-11,Meat Shawarma,Medium,15,37
2024-01-11,Meat Shawarma,Large,18,23
2024-01-11,Mixed Shawarma,Small,14,21
2024-01-11,Mixed Shawarma,Medium,17,33
2024-01-11,Mixed Shawarma,Large,20,18
2024-01-12,Chicken Shawarma,Small,10,51
2024-01-12,Chicken Shawarma,Medium,12,70
2024-01-12,Chicken Shawarma,Large,14,61
2024-01-12,Meat Shawarma,Small,12,40
2024-01-12,Meat Shawarma,Medium,15,50
2024-01-12,Meat Shawarma,Large,18,47
2024-01-12,Mixed Shawarma,Small,14,24
2024-01-12,Mixed Shawarma,Medium,17,46
2024-01-12,Mixed Shawarma,Large,20,34
2024-01-13,Chicken Shawarma,Small,10,35
2024-01-13,Chicken Shawarma,Medium,12,58
2024-01-13,Chicken Shawarma,Large,14,49
2024-01-13,Meat Shawarma,Small,12,29
2024-01-13,Meat Shawarma,Medium,15,54
2024-01-13,Meat Shawarma,Large,18,37
2024-01-13,Mixed Shawarma,Small,14,30
2024-01-13,Mixed Shawarma,Medium,17,48
2024-01-13,Mixed Shawarma,Large,20,32
2024-01-14,Chicken Shawarma,Small,10,48
2024-01-14,Chicken Shawarma,Medium,12,62
2024-01-14,Chicken Shawarma,Large,14,45
2024-01-14,Meat Shawarma,Small,12,28
2024-01-14,Meat Shawarma,Medium,15,56
2024-01-14,Meat Shawarma,Large,18,47
2024-01-14,Mixed Shawarma,Small,14,30
2024-01-14,Mixed Shawarma,Medium,17,48
2024-01-14,Mixed Shawarma,Large,20,31
2024-01-15,Chicken Shawarma,Small,10,32
2024-01-15,Chicken Shawarma,Medium,12,42
2024-01-15,Chicken Shawarma,Large,14,40
2024-01-15,Meat Shawarma,Small,12,19
2024-01-15,Meat Shawarma,Medium,15,35
2024-01-15,Meat Shawarma,Large,18,32
2024-01-15,Mixed Shawarma,Small,14,17
2024-01-15,Mixed Shawarma,Medium,17,32
2024-01-15,Mixed Shawarma,Large,20,19
2024-01-16,Chicken Shawarma,Small,10,32
2024-01-16,Chicken Shawarma,Medium,12,37
2024-01-16,Chicken Shawarma,Large,14,35
2024-01-16,Meat Shawarma,Small,12,25
2024-01-16,Meat Shawarma,Medium,15,37
2024-01-16,Meat Shawarma,Large,18,30
2024-01-16,Mixed Shawarma,Small,14,20
2024-01-16,Mixed Shawarma,Medium,17,32
2024-01-16,Mixed Shawarma,Large,20,19
2024-01-17,Chicken Shawarma,Small,10,34
2024-01-17,Chicken Shawarma,Medium,12,43
2024-01-17,Chicken Shawarma,Large,14,39
2024-01-17,Meat Shawarma,Small,12,18
2024-01-17,Meat Shawarma,Medium,15,39
2024-01-17,Meat Shawarma,Large,18,24
2024-01-17,Mixed Shawarma,Small,14,18
2024-01-17,Mixed Shawarma,Medium,17,26
2024-01-17,Mixed Shawarma,Large,20,27
2024-01-18,Chicken Shawarma,Small,10,33
2024-01-18,Chicken Shawarma,Medium,12,45
2024-01-18,Chicken Shawarma,Large,14,32
2024-01-18,Meat Shawarma,Small,12,18
2024-01-18,Meat Shawarma,Medium,15,40
2024-01-18,Meat Shawarma,Large,18,28
2024-01-18,Mixed Shawarma,Small,14,19
2024-01-18,Mixed Shawarma,Medium,17,33
2024-01-18,Mixed Shawarma,Large,20,26
2024-01-19,Chicken Shawarma,Small,10,45
2024-01-19,Chicken Shawarma,Medium,12,70
2024-01-19,Chicken Shawarma,Large,14,56
2024-01-19,Meat Shawarma,Small,12,29
2024-01-19,Meat Shawarma,Medium,15,58
2024-01-19,Meat Shawarma,Large,18,43
2024-01-19,Mixed Shawarma,Small,14,25
2024-01-19,Mixed Shawarma,Medium,17,42
2024-01-19,Mixed Shawarma,Large,20,35
2024-01-20,Chicken Shawarma,Small,10,37
2024-01-20,Chicken Shawarma,Medium,12,52
2024-01-20,Chicken Shawarma,Large,14,58
2024-01-20,Meat Shawarma,Small,12,32
2024-01-20,Meat Shawarma,Medium,15,53
2024-01-20,Meat Shawarma,Large,18,36
2024-01-20,Mixed Shawarma,Small,14,27
2024-01-20,Mixed Shawarma,Medium,17,40
2024-01-20,Mixed Shawarma,Large,20,37
2024-01-21,Chicken Shawarma,Small,10,46
2024-01-21,Chicken Shawarma,Medium,12,76
2024-01-21,Chicken Shawarma,Large,14,44
2024-01-21,Meat Shawarma,Small,12,40
2024-01-21,Meat Shawarma,Medium,15,53
2024-01-21,Meat Shawarma,Large,18,43
2024-01-21,Mixed Shawarma,Small,14,29
2024-01-21,Mixed Shawarma,Medium,17,35
2024-01-21,Mixed Shawarma,Large,20,29
2024-01-22,Chicken Shawarma,Small,10,24
2024-01-22,Chicken Shawarma,Medium,12,41
2024-01-22,Chicken Shawarma,Large,14,29
2024-01-22,Meat Shawarma,Small,12,18
2024-01-22,Meat Shawarma,Medium,15,27
2024-01-22,Meat Shawarma,Large,18,29
2024-01-22,Mixed Shawarma,Small,14,18
2024-01-22,Mixed Shawarma,Medium,17,25
2024-01-22,Mixed Shawarma,Large,20,19
2024-01-23,Chicken Shawarma,Small,10,24
2024-01-23,Chicken Shawarma,Medium,12,36
2024-01-23,Chicken Shawarma,Large,14,27
2024-01-23,Meat Shawarma,Small,12,27
2024-01-23,Meat Shawarma,Medium,15,36
2024-01-23,Meat Shawarma,Large,18,30
2024-01-23,Mixed Shawarma,Small,14,21
2024-01-23,Mixed Shawarma,Medium,17,23
2024-01-23,Mixed Shawarma,Large,20,22
2024-01-24,Chicken Shawarma,Small,10,25
2024-01-24,Chicken Shawarma,Medium,12,37
2024-01-24,Chicken Shawarma,Large,14,37
2024-01-24,Meat Shawarma,Small,12,24
2024-01-24,Meat Shawarma,Medium,15,35
2024-01-24,Meat Shawarma,Large,18,32
2024-01-24,Mixed Shawarma,Small,14,16
2024-01-24,Mixed Shawarma,Medium,17,24
2024-01-24,Mixed Shawarma,Large,20,24
2024-01-25,Chicken Shawarma,Small,10,25
2024-01-25,Chicken Shawarma,Medium,12,44
2024-01-25,Chicken Shawarma,Large,14,30
2024-01-25,Meat Shawarma,Small,12,19
2024-01-25,Meat Shawarma,Medium,15,27
2024-01-25,Meat Shawarma,Large,18,32
2024-01-25,Mixed Shawarma,Small,14,19
2024-01-25,Mixed Shawarma,Medium,17,27
2024-01-25,Mixed Shawarma,Large,20,23
2024-01-26,Chicken Shawarma,Small,10,43
2024-01-26,Chicken Shawarma,Medium,12,65
2024-01-26,Chicken Shawarma,Large,14,51
2024-01-26,Meat Shawarma,Small,12,40
2024-01-26,Meat Shawarma,Medium,15,60
2024-01-26,Meat Shawarma,Large,18,42
2024-01-26,Mixed Shawarma,Small,14,31
2024-01-26,Mixed Shawarma,Medium,17,39
2024-01-26,Mixed Shawarma,Large,20,40
2024-01-27,Chicken Shawarma,Small,10,37
2024-01-27,Chicken Shawarma,Medium,12,53
2024-01-27,Chicken Shawarma,Large,14,46
2024-01-27,Meat Shawarma,Small,12,35
2024-01-27,Meat Shawarma,Medium,15,61
2024-01-27,Meat Shawarma,Large,18,47
2024-01-27,Mixed Shawarma,Small,14,26
2024-01-27,Mixed Shawarma,Medium,17,37
2024-01-27,Mixed Shawarma,Large,20,27
2024-01-28,Chicken Shawarma,Small,10,42
2024-01-28,Chicken Shawarma,Medium,12,56
2024-01-28,Chicken Shawarma,Large,14,46
2024-01-28,Meat Shawarma,Small,12,39
2024-01-28,Meat Shawarma,Medium,15,50
2024-01-28,Meat Shawarma,Large,18,44
2024-01-28,Mixed Shawarma,Small,14,33
2024-01-28,Mixed Shawarma,Medium,17,38
2024-01-28,Mixed Shawarma,Large,20,34
2024-01-29,Chicken Shawarma,Small,10,30
2024-01-29,Chicken Shawarma,Medium,12,39
2024-01-29,Chicken Shawarma,Large,14,34
2024-01-29,Meat Shawarma,Small,12,22
2024-01-29,Meat Shawarma,Medium,15,38
2024-01-29,Meat Shawarma,Large,18,23
2024-01-29,Mixed Shawarma,Small,14,17
2024-01-29,Mixed Shawarma,Medium,17,26
2024-01-29,Mixed Shawarma,Large,20,20
2024-01-30,Chicken Shawarma,Small,10,23
2024-01-30,Chicken Shawarma,Medium,12,42
2024-01-30,Chicken Shawarma,Large,14,29
2024-01-30,Meat Shawarma,Small,12,23
2024-01-30,Meat Shawarma,Medium,15,35
2024-01-30,Meat Shawarma,Large,18,27
2024-01-30,Mixed Shawarma,Small,14,20
2024-01-30,Mixed Shawarma,Medium,17,31
2024-01-30,Mixed Shawarma,Large,20,19
2024-01-31,Chicken Shawarma,Small,10,30
2024-01-31,Chicken Shawarma,Medium,12,34
2024-01-31,Chicken Shawarma,Large,14,36
2024-01-31,Meat Shawarma,Small,12,24
2024-01-31,Meat Shawarma,Medium,15,31
2024-01-31,Meat Shawarma,Large,18,32
2024-01-31,Mixed Shawarma,Small,14,21
2024-01-31,Mixed Shawarma,Medium,17,34
2024-01-31,Mixed Shawarma,Large,20,22
2024-02-01,Chicken Shawarma,Small,10,27
2024-02-01,Chicken Shawarma,Medium,12,51
2024-02-01,Chicken Shawarma,Large,14,40
2024-02-01,Meat Shawarma,Small,12,24
2024-02-01,Meat Shawarma,Medium,15,34
2024-02-01,Meat Shawarma,Large,18,29
2024-02-01,Mixed Shawarma,Small,14,22
2024-02-01,Mixed Shawarma,Medium,17,25
2024-02-01,Mixed Shawarma,Large,20,22
2024-02-02,Chicken Shawarma,Small,10,47
2024-02-02,Chicken Shawarma,Medium,12,64
2024-02-02,Chicken Shawarma,Large,14,42
2024-02-02,Meat Shawarma,Small,12,31
2024-02-02,Meat Shawarma,Medium,15,47
2024-02-02,Meat Shawarma,Large,18,35
2024-02-02,Mixed Shawarma,Small,14,24
2024-02-02,Mixed Shawarma,Medium,17,36
2024-02-02,Mixed Shawarma,Large,20,29
2024-02-03,Chicken Shawarma,Small,10,40
2024-02-03,Chicken Shawarma,Medium,12,62
2024-02-03,Chicken Shawarma,Large,14,52
2024-02-03,Meat Shawarma,Small,12,36
2024-02-03,Meat Shawarma,Medium,15,58
2024-02-03,Meat Shawarma,Large,18,44
2024-02-03,Mixed Shawarma,Small,14,33
2024-02-03,Mixed Shawarma,Medium,17,49
2024-02-03,Mixed Shawarma,Large,20,31
2024-02-04,Chicken Shawarma,Small,10,49
2024-02-04,Chicken Shawarma,Medium,12,58
2024-02-04,Chicken Shawarma,Large,14,61
2024-02-04,Meat Shawarma,Small,12,36
2024-02-04,Meat Shawarma,Medium,15,55
2024-02-04,Meat Shawarma,Large,18,35
2024-02-04,Mixed Shawarma,Small,14,34
2024-02-04,Mixed Shawarma,Medium,17,51
2024-02-04,Mixed Shawarma,Large,20,40
2024-02-05,Chicken Shawarma,Small,10,30
2024-02-05,Chicken Shawarma,Medium,12,45
2024-02-05,Chicken Shawarma,Large,14,32
2024-02-05,Meat Shawarma,Small,12,22
2024-02-05,Meat Shawarma,Medium,15,40
2024-02-05,Meat Shawarma,Large,18,32
2024-02-05,Mixed Shawarma,Small,14,20
2024-02-05,Mixed Shawarma,Medium,17,24
2024-02-05,Mixed Shawarma,Large,20,20
2024-02-06,Chicken Shawarma,Small,10,25
2024-02-06,Chicken Shawarma,Medium,12,45
2024-02-06,Chicken Shawarma,Large,14,29
2024-02-06,Meat Shawarma,Small,12,20
2024-02-06,Meat Shawarma,Medium,15,37
2024-02-06,Meat Shawarma,Large,18,33
2024-02-06,Mixed Shawarma,Small,14,17
2024-02-06,Mixed Shawarma,Medium,17,25
2024-02-06,Mixed Shawarma,Large,20,21
2024-02-07,Chicken Shawarma,Small,10,31
2024-02-07,Chicken Shawarma,Medium,12,47
2024-02-07,Chicken Shawarma,Large,14,28
2024-02-07,Meat Shawarma,Small,12,24
2024-02-07,Meat Shawarma,Medium,15,32
2024-02-07,Meat Shawarma,Large,18,23
2024-02-07,Mixed Shawarma,Small,14,15
2024-02-07,Mixed Shawarma,Medium,17,29
2024-02-07,Mixed Shawarma,Large,20,24
2024-02-08,Chicken Shawarma,Small,10,29
2024-02-08,Chicken Shawarma,Medium,12,42
2024-02-08,Chicken Shawarma,Large,14,39
2024-02-08,Meat Shawarma,Small,12,22
2024-02-08,Meat Shawarma,Medium,15,35
2024-02-08,Meat Shawarma,Large,18,31
2024-02-08,Mixed Shawarma,Small,14,16
2024-02-08,Mixed Shawarma,Medium,17,33
2024-02-08,Mixed Shawarma,Large,20,22
2024-02-09,Chicken Shawarma,Small,10,37
2024-02-09,Chicken Shawarma,Medium,12,59
2024-02-09,Chicken Shawarma,Large,14,61
2024-02-09,Meat Shawarma,Small,12,32
2024-02-09,Meat Shawarma,Medium,15,61
2024-02-09,Meat Shawarma,Large,18,34
2024-02-09,Mixed Shawarma,Small,14,29
2024-02-09,Mixed Shawarma,Medium,17,49
2024-02-09,Mixed Shawarma,Large,20,40
2024-02-10,Chicken Shawarma,Small,10,48
2024-02-10,Chicken Shawarma,Medium,12,70
2024-02-10,Chicken Shawarma,Large,14,62
2024-02-10,Meat Shawarma,Small,12,33
