date,product_name,size,unit_price,quantity
2025-01-01,Chicken Shawarma,Small,10,33
2025-01-01,Chicken Shawarma,Medium,12,46
2025-01-01,Chicken Shawarma,Large,14,31
2025-01-01,Meat Shawarma,Small,12,29
2025-01-01,Meat Shawarma,Medium,15,34
2025-01-01,Meat Shawarma,Large,18,29
2025-01-01,Mixed Shawarma,Small,14,20
2025-01-01,Mixed Shawarma,Medium,17,30
2025-01-01,Mixed Shawarma,Large,20,22
2025-01-02,Chicken Shawarma,Small,10,35
2025-01-02,Chicken Shawarma,Medium,12,38
2025-01-02,Chicken Shawarma,Large,14,38
2025-01-02,Meat Shawarma,Small,12,23
2025-01-02,Meat Shawarma,Medium,15,30
2025-01-02,Meat Shawarma,Large,18,24
2025-01-02,Mixed Shawarma,Small,14,22
2025-01-02,Mixed Shawarma,Medium,17,25
2025-01-02,Mixed Shawarma,Large,20,29
2025-01-03,Chicken Shawarma,Small,10,40
2025-01-03,Chicken Shawarma,Medium,12,63
2025-01-03,Chicken Shawarma,Large,14,52
2025-01-03,Meat Shawarma,Small,12,37
2025-01-03,Meat Shawarma,Medium,15,55
2025-01-03,Meat Shawarma,Large,18,50
2025-01-03,Mixed Shawarma,Small,14,31
2025-01-03,Mixed Shawarma,Medium,17,44
2025-01-03,Mixed Shawarma,Large,20,34
2025-01-04,Chicken Shawarma,Small,10,39
2025-01-04,Chicken Shawarma,Medium,12,78
2025-01-04,Chicken Shawarma,Large,14,61
2025-01-04,Meat Shawarma,Small,12,31
2025-01-04,Meat Shawarma,Medium,15,49
2025-01-04,Meat Shawarma,Large,18,40
2025-01-04,Mixed Shawarma,Small,14,31
2025-01-04,Mixed Shawarma,Medium,17,46
2025-01-04,Mixed Shawarma,Large,20,43
2025-01-05,Chicken Shawarma,Small,10,40
2025-01-05,Chicken Shawarma,Medium,12,65
2025-01-05,Chicken Shawarma,Large,14,52
2025-01-05,Meat Shawarma,Small,12,36
2025-01-05,Meat Shawarma,Medium,15,54
2025-01-05,Meat Shawarma,Large,18,53
2025-01-05,Mixed Shawarma,Small,14,28
2025-01-05,Mixed Shawarma,Medium,17,45
2025-01-05,Mixed Shawarma,Large,20,41
2025-01-06,Chicken Shawarma,Small,10,31
2025-01-06,Chicken Shawarma,Medium,12,47
2025-01-06,Chicken Shawarma,Large,14,43
2025-01-06,Meat Shawarma,Small,12,25
2025-01-06,Meat Shawarma,Medium,15,37
2025-01-06,Meat Shawarma,Large,18,24
2025-01-06,Mixed Shawarma,Small,14,20
2025-01-06,Mixed Shawarma,Medium,17,36
2025-01-06,Mixed Shawarma,Large,20,22
2025-01-07,Chicken Shawarma,Small,10,30
2025-01-07,Chicken Shawarma,Medium,12,44
2025-01-07,Chicken Shawarma,Large,14,34
2025-01-07,Meat Shawarma,Small,12,27
2025-01-07,Meat Shawarma,Medium,15,37
2025-01-07,Meat Shawarma,Large,18,31
2025-01-07,Mixed Shawarma,Small,14,24
2025-01-07,Mixed Shawarma,Medium,17,34
2025-01-07,Mixed Shawarma,Large,20,24
2025-01-08,Chicken Shawarma,Small,10,29
2025-01-08,Chicken Shawarma,Medium,12,55
2025-01-08,Chicken Shawarma,Large,14,34
2025-01-08,Meat Shawarma,Small,12,29
2025-01-08,Meat Shawarma,Medium,15,37
2025-01-08,Meat Shawarma,Large,18,30
2025-01-08,Mixed Shawarma,Small,14,21
2025-01-08,Mixed Shawarma,Medium,17,29
2025-01-08,Mixed Shawarma,Large,20,24
2025-01-09,Chicken Shawarma,Small,10,31
2025-01-09,Chicken Shawarma,Medium,12,42
2025-01-09,Chicken Shawarma,Large,14,38
2025-01-09,Meat Shawarma,Small,12,22
2025-01-09,Meat Shawarma,Medium,15,31
2025-01-09,Meat Shawarma,Large,18,32
2025-01-09,Mixed Shawarma,Small,14,20
2025-01-09,Mixed Shawarma,Medium,17,34
2025-01-09,Mixed Shawarma,Large,20,24
2025-01-10,Chicken Shawarma,Small,10,54
2025-01-10,Chicken Shawarma,Medium,12,77
2025-01-10,Chicken Shawarma,Large,14,60
2025-01-10,Meat Shawarma,Small,12,44
2025-01-10,Meat Shawarma,Medium,15,65
2025-01-10,Meat Shawarma,Large,18,40
2025-01-10,Mixed Shawarma,Small,14,33
2025-01-10,Mixed Shawarma,Medium,17,52
2025-01-10,Mixed Shawarma,Large,20,33
2025-01-11,Chicken Shawarma,Small,10,55
2025-01-11,Chicken Shawarma,Medium,12,64
2025-01-11,Chicken Shawarma,Large,14,60
2025-01-11,Meat Shawarma,Small,12,44
2025-01-11,Meat Shawarma,Medium,15,57
2025-01-11,Meat Shawarma,Large,18,52
2025-01-11,Mixed Shawarma,Small,14,34
2025-01-11,Mixed Shawarma,Medium,17,41
2025-01-11,Mixed Shawarma,Large,20,31
2025-01-12,Chicken Shawarma,Small,10,54
2025-01-12,Chicken Shawarma,Medium,12,71
2025-01-12,Chicken Shawarma,Large,14,47
2025-01-12,Meat Shawarma,Small,12,33
2025-01-12,Meat Shawarma,Medium,15,52
2025-01-12,Meat Shawarma,Large,18,43
2025-01-12,Mixed Shawarma,Small,14,35
2025-01-12,Mixed Shawarma,Medium,17,44
2025-01-12,Mixed Shawarma,Large,20,42
2025-01-13,Chicken Shawarma,Small,10,31
2025-01-13,Chicken Shawarma,Medium,12,49
2025-01-13,Chicken Shawarma,Large,14,31
2025-01-13,Meat Shawarma,Small,12,27
2025-01-13,Meat Shawarma,Medium,15,37
2025-01-13,Meat Shawarma,Large,18,35
2025-01-13,Mixed Shawarma,Small,14,17
2025-01-13,Mixed Shawarma,Medium,17,36
2025-01-13,Mixed Shawarma,Large,20,29
2025-01-14,Chicken Shawarma,Small,10,35
2025-01-14,Chicken Shawarma,Medium,12,47
2025-01-14,Chicken Shawarma,Large,14,32
2025-01-14,Meat Shawarma,Small,12,20
2025-01-14,Meat Shawarma,Medium,15,31
2025-01-14,Meat Shawarma,Large,18,31
2025-01-14,Mixed Shawarma,Small,14,18
2025-01-14,Mixed Shawarma,Medium,17,28
2025-01-14,Mixed Shawarma,Large,20,27
2025-01-15,Chicken Shawarma,Small,10,37
2025-01-15,Chicken Shawarma,Medium,12,45
2025-01-15,Chicken Shawarma,Large,14,34
2025-01-15,Meat Shawarma,Small,12,27
2025-01-15,Meat Shawarma,Medium,15,32
2025-01-15,Meat Shawarma,Large,18,30
2025-01-15,Mixed Shawarma,Small,14,17
2025-01-15,Mixed Shawarma,Medium,17,25
2025-01-15,Mixed Shawarma,Large,20,26
2025-01-16,Chicken Shawarma,Small,10,34
2025-01-16,Chicken Shawarma,Medium,12,43
2025-01-16,Chicken Shawarma,Large,14,42
2025-01-16,Meat Shawarma,Small,12,19
2025-01-16,Meat Shawarma,Medium,15,30
2025-01-16,Meat Shawarma,Large,18,33
2025-01-16,Mixed Shawarma,Small,14,20
2025-01-16,Mixed Shawarma,Medium,17,28
2025-01-16,Mixed Shawarma,Large,20,29
2025-01-17,Chicken Shawarma,Small,10,39
2025-01-17,Chicken Shawarma,Medium,12,57
2025-01-17,Chicken Shawarma,Large,14,50
2025-01-17,Meat Shawarma,Small,12,31
2025-01-17,Meat Shawarma,Medium,15,52
2025-01-17,Meat Shawarma,Large,18,47
2025-01-17,Mixed Shawarma,Small,14,33
2025-01-17,Mixed Shawarma,Medium,17,43
2025-01-17,Mixed Shawarma,Large,20,38
2025-01-18,Chicken Shawarma,Small,10,39
2025-01-18,Chicken Shawarma,Medium,12,77
2025-01-18,Chicken Shawarma,Large,14,62
2025-01-18,Meat Shawarma,Small,12,40
2025-01-18,Meat Shawarma,Medium,15,46
2025-01-18,Meat Shawarma,Large,18,38
2025-01-18,Mixed Shawarma,Small,14,35
2025-01-18,Mixed Shawarma,Medium,17,41
2025-01-18,Mixed Shawarma,Large,20,43
2025-01-19,Chicken Shawarma,Small,10,38
2025-01-19,Chicken Shawarma,Medium,12,69
2025-01-19,Chicken Shawarma,Large,14,62
2025-01-19,Meat Shawarma,Small,12,43
2025-01-19,Meat Shawarma,Medium,15,50
2025-01-19,Meat Shawarma,Large,18,40
2025-01-19,Mixed Shawarma,Small,14,27
2025-01-19,Mixed Shawarma,Medium,17,53
2025-01-19,Mixed Shawarma,Large,20,42
2025-01-20,Chicken Shawarma,Small,10,37
2025-01-20,Chicken Shawarma,Medium,12,53
2025-01-20,Chicken Shawarma,Large,14,41
2025-01-20,Meat Shawarma,Small,12,25
2025-01-20,Meat Shawarma,Medium,15,34
2025-01-20,Meat Shawarma,Large,18,31
2025-01-20,Mixed Shawarma,Small,14,19
2025-01-20,Mixed Shawarma,Medium,17,30
2025-01-20,Mixed Shawarma,Large,20,22
2025-01-21,Chicken Shawarma,Small,10,28
2025-01-21,Chicken Shawarma,Medium,12,51
2025-01-21,Chicken Shawarma,Large,14,37
2025-01-21,Meat Shawarma,Small,12,24
2025-01-21,Meat Shawarma,Medium,15,40
2025-01-21,Meat Shawarma,Large,18,25
2025-01-21,Mixed Shawarma,Small,14,21
2025-01-21,Mixed Shawarma,Medium,17,28
2025-01-21,Mixed Shawarma,Large,20,26
2025-01-22,Chicken Shawarma,Small,10,32
2025-01-22,Chicken Shawarma,Medium,12,46
2025-01-22,Chicken Shawarma,Large,14,37
2025-01-22,Meat Shawarma,Small,12,22
2025-01-22,Meat Shawarma,Medium,15,35
2025-01-22,Meat Shawarma,Large,18,25
2025-01-22,Mixed Shawarma,Small,14,24
2025-01-22,Mixed Shawarma,Medium,17,30
2025-01-22,Mixed Shawarma,Large,20,21
2025-01-23,Chicken Shawarma,Small,10,31
2025-01-23,Chicken Shawarma,Medium,12,47
2025-01-23,Chicken Shawarma,Large,14,38
2025-01-23,Meat Shawarma,Small,12,21
2025-01-23,Meat Shawarma,Medium,15,33
2025-01-23,Meat Shawarma,Large,18,33
2025-01-23,Mixed Shawarma,Small,14,21
2025-01-23,Mixed Shawarma,Medium,17,28
2025-01-23,Mixed Shawarma,Large,20,22
2025-01-24,Chicken Shawarma,Small,10,50
2025-01-24,Chicken Shawarma,Medium,12,69
2025-01-24,Chicken Shawarma,Large,14,65
2025-01-24,Meat Shawarma,Small,12,37
2025-01-24,Meat Shawarma,Medium,15,61
2025-01-24,Meat Shawarma,Large,18,39
2025-01-24,Mixed Shawarma,Small,14,33
2025-01-24,Mixed Shawarma,Medium,17,54
2025-01-24,Mixed Shawarma,Large,20,39
2025-01-25,Chicken Shawarma,Small,10,53
2025-01-25,Chicken Shawarma,Medium,12,56
2025-01-25,Chicken Shawarma,Large,14,59
2025-01-25,Meat Shawarma,Small,12,32
2025-01-25,Meat Shawarma,Medium,15,55
2025-01-25,Meat Shawarma,Large,18,48
2025-01-25,Mixed Shawarma,Small,14,28
2025-01-25,Mixed Shawarma,Medium,17,37
2025-01-25,Mixed Shawarma,Large,20,41
2025-01-26,Chicken Shawarma,Small,10,45
2025-01-26,Chicken Shawarma,Medium,12,58
2025-01-26,Chicken Shawarma,Large,14,51
2025-01-26,Meat Shawarma,Small,12,37
2025-01-26,Meat Shawarma,Medium,15,60
2025-01-26,Meat Shawarma,Large,18,51
2025-01-26,Mixed Shawarma,Small,14,26
2025-01-26,Mixed Shawarma,Medium,17,47
2025-01-26,Mixed Shawarma,Large,20,40
2025-01-27,Chicken Shawarma,Small,10,28
2025-01-27,Chicken Shawarma,Medium,12,55
2025-01-27,Chicken Shawarma,Large,14,31
2025-01-27,Meat Shawarma,Small,12,22
2025-01-27,Meat Shawarma,Medium,15,42
2025-01-27,Meat Shawarma,Large,18,29
2025-01-27,Mixed Shawarma,Small,14,20
2025-01-27,Mixed Shawarma,Medium,17,32
2025-01-27,Mixed Shawarma,Large,20,25
2025-01-28,Chicken Shawarma,Small,10,27
2025-01-28,Chicken Shawarma,Medium,12,47
2025-01-28,Chicken Shawarma,Large,14,43
2025-01-28,Meat Shawarma,Small,12,28
2025-01-28,Meat Shawarma,Medium,15,32
2025-01-28,Meat Shawarma,Large,18,27
2025-01-28,Mixed Shawarma,Small,14,21
2025-01-28,Mixed Shawarma,Medium,17,28
2025-01-28,Mixed Shawarma,Large,20,28
2025-01-29,Chicken Shawarma,Small,10,30
2025-01-29,Chicken Shawarma,Medium,12,45
2025-01-29,Chicken Shawarma,Large,14,32
2025-01-29,Meat Shawarma,Small,12,22
2025-01-29,Meat Shawarma,Medium,15,37
2025-01-29,Meat Shawarma,Large,18,34
2025-01-29,Mixed Shawarma,Small,14,20
2025-01-29,Mixed Shawarma,Medium,17,34
